"Step","StratifiedKFold-ROC - train/f1-score","StratifiedKFold-ROC - train/f1-score__MIN","StratifiedKFold-ROC - train/f1-score__MAX"
"13","0.757607555089192","0.757607555089192","0.757607555089192"
"28","0.8861985472154965","0.8861985472154965","0.8861985472154965"
"43","0.9725685785536159","0.9725685785536159","0.9725685785536159"
"58","0.9963099630996309","0.9963099630996309","0.9963099630996309"
"73","1","1","1"
"88","1","1","1"
"103","1","1","1"
"118","1","1","1"
"133","1","1","1"
"148","1","1","1"
"163","1","1","1"
"178","1","1","1"
"193","1","1","1"
"208","1","1","1"
"223","1","1","1"
"238","1","1","1"
"253","1","1","1"
"268","1","1","1"
"283","1","1","1"
"298","1","1","1"
"313","1","1","1"
"328","1","1","1"
"343","1","1","1"
"358","1","1","1"
"373","1","1","1"
"388","0.7692307692307692","0.7692307692307692","0.7692307692307692"
"403","0.8886227544910179","0.8886227544910179","0.8886227544910179"
"418","0.9715698393077874","0.9715698393077874","0.9715698393077874"
"433","0.998769987699877","0.998769987699877","0.998769987699877"
"448","0.998769987699877","0.998769987699877","0.998769987699877"
"463","1","1","1"
"478","1","1","1"
"493","1","1","1"
"508","1","1","1"
"523","1","1","1"
"538","1","1","1"
"553","1","1","1"
"568","1","1","1"
"583","1","1","1"
"598","1","1","1"
"613","1","1","1"
"628","1","1","1"
"643","1","1","1"
"658","1","1","1"
"673","1","1","1"
"688","1","1","1"
"703","1","1","1"
"718","1","1","1"
"733","1","1","1"
"748","1","1","1"
"763","0.7299771167048054","0.7299771167048054","0.7299771167048054"
"778","0.8797083839611178","0.8797083839611178","0.8797083839611178"
"793","0.9742331288343558","0.9742331288343558","0.9742331288343558"
"808","0.9975308641975309","0.9975308641975309","0.9975308641975309"
"823","1","1","1"
"838","1","1","1"
"853","1","1","1"
"868","1","1","1"
"883","1","1","1"
"898","1","1","1"
"913","1","1","1"
"928","1","1","1"
"943","1","1","1"
"958","1","1","1"
"973","1","1","1"
"988","1","1","1"
"1003","1","1","1"
"1018","1","1","1"
"1033","1","1","1"
"1048","1","1","1"
"1063","1","1","1"
"1078","1","1","1"
"1093","1","1","1"
"1108","1","1","1"
"1123","1","1","1"
"1138","0.7604166666666667","0.7604166666666667","0.7604166666666667"
"1153","0.8724179829890644","0.8724179829890644","0.8724179829890644"
"1168","0.9713574097135741","0.9713574097135741","0.9713574097135741"
"1183","0.9975308641975309","0.9975308641975309","0.9975308641975309"
"1198","1","1","1"
"1213","1","1","1"
"1228","1","1","1"
"1243","1","1","1"
"1258","1","1","1"
"1273","1","1","1"
"1288","1","1","1"
"1303","1","1","1"
"1318","1","1","1"
"1333","1","1","1"
"1348","1","1","1"
"1363","1","1","1"
"1378","1","1","1"
"1393","1","1","1"
"1408","1","1","1"
"1423","1","1","1"
"1438","1","1","1"
"1453","1","1","1"
"1468","1","1","1"
"1483","1","1","1"
"1498","1","1","1"
"1513","0.7500000000000001","0.7500000000000001","0.7500000000000001"
"1528","0.8761174968071521","0.8761174968071521","0.8761174968071521"
"1543","0.9685990338164251","0.9685990338164251","0.9685990338164251"
"1558","0.998769987699877","0.998769987699877","0.998769987699877"
"1573","1","1","1"
"1588","1","1","1"
"1603","1","1","1"
"1618","1","1","1"
"1633","1","1","1"
"1648","1","1","1"
"1663","1","1","1"
"1678","1","1","1"
