,summary,config,name
0,"{'_step': 2059, '_timestamp': 1680692970.2016854, 'test/recall': 0.6170212765957447, 'test/f1-score': 0.7073170731707318, 'test/epoch_acc': 0.7333333333333334, 'test/epoch_loss': 0.5664619127909343, 'train/epoch_loss': 0.4241055610431793, 'epoch': 9, '_wandb': {'runtime': 363}, '_runtime': 367.13677954673767, 'test/precision': 0.8285714285714286, 'train/epoch_acc': 0.8230958230958231, 'train/batch_loss': 0.33577921986579895}","{'eps': 0.1, 'gamma': 0.1, 'epochs': 10, 'beta_one': 0.99, 'beta_two': 0.9, 'optimizer': 'adam', 'step_size': 3, 'batch_size': 4, 'learning_rate': 0.0003}",fiery-sweep-26
1,"{'test/f1-score': 0.7474747474747475, 'test/precision': 0.6851851851851852, 'test/epoch_loss': 0.6454579922888014, 'train/batch_loss': 0.7014500498771667, '_step': 1039, 'epoch': 9, '_wandb': {'runtime': 338}, '_runtime': 341.8420207500458, 'train/epoch_loss': 0.649790015355375, '_timestamp': 1680692589.503975, 'test/recall': 0.8222222222222222, 'test/epoch_acc': 0.7222222222222222, 'train/epoch_acc': 0.7125307125307125}","{'eps': 1, 'gamma': 0.5, 'epochs': 10, 'beta_one': 0.99, 'beta_two': 0.9, 'optimizer': 'adam', 'step_size': 2, 'batch_size': 8, 'learning_rate': 0.0003}",radiant-sweep-25
2,"{'train/epoch_acc': 0.9987714987714988, 'train/epoch_loss': 0.01614290558709019, '_step': 1039, 'epoch': 9, '_runtime': 336.8275649547577, '_timestamp': 1680692234.39516, 'test/epoch_acc': 0.888888888888889, 'test/precision': 0.935483870967742, '_wandb': {'runtime': 333}, 'test/recall': 0.7837837837837838, 'test/f1-score': 0.8529411764705881, 'test/epoch_loss': 0.34812947780333664, 'train/batch_loss': 0.01956617273390293}","{'eps': 1e-08, 'gamma': 0.5, 'epochs': 10, 'beta_one': 0.9, 'beta_two': 0.999, 'optimizer': 'sgd', 'step_size': 5, 'batch_size': 8, 'learning_rate': 0.003}",blooming-sweep-24
3,"{'train/epoch_acc': 0.8353808353808354, 'train/epoch_loss': 0.5324229019572753, 'epoch': 9, '_runtime': 331.57809829711914, '_timestamp': 1680691883.3877182, 'test/recall': 0.8333333333333334, 'test/f1-score': 0.7954545454545455, 'test/precision': 0.7608695652173914, '_step': 529, '_wandb': {'runtime': 327}, 'test/epoch_acc': 0.8, 'test/epoch_loss': 0.5553177932898203, 'train/batch_loss': 0.5222326517105103}","{'eps': 1, 'gamma': 0.1, 'epochs': 10, 'beta_one': 0.9, 'beta_two': 0.9, 'optimizer': 'sgd', 'step_size': 2, 'batch_size': 16, 'learning_rate': 0.0003}",visionary-sweep-23
4,"{'test/precision': 0.5897435897435898, 'train/epoch_acc': 0.5577395577395577, '_step': 410, 'epoch': 1, '_runtime': 71.64615154266357, '_timestamp': 1680691538.7247725, 'test/f1-score': 0.7076923076923076, 'test/epoch_acc': 0.5777777777777778, 'train/batch_loss': 0.5083656311035156, '_wandb': {'runtime': 70}, 'test/recall': 0.8846153846153846, 'test/epoch_loss': 1.5602711306677923, 'train/epoch_loss': 0.7508098256090057}","{'eps': 1e-08, 'gamma': 0.5, 'epochs': 10, 'beta_one': 0.9, 'beta_two': 0.99, 'optimizer': 'adam', 'step_size': 7, 'batch_size': 4, 'learning_rate': 0.01}",ancient-sweep-22
5,"{'_wandb': {'runtime': 328}, 'test/recall': 0.9545454545454546, '_step': 529, 'epoch': 9, '_runtime': 331.44886469841003, '_timestamp': 1680691453.5148375, 'test/f1-score': 0.8, 'test/epoch_acc': 0.7666666666666667, 'test/precision': 0.6885245901639344, 'test/epoch_loss': 0.4844042791260613, 'train/epoch_acc': 0.769041769041769, 'train/batch_loss': 0.4559023082256317, 'train/epoch_loss': 0.49390909720111537}","{'eps': 1e-08, 'gamma': 0.1, 'epochs': 10, 'beta_one': 0.99, 'beta_two': 0.99, 'optimizer': 'adam', 'step_size': 5, 'batch_size': 16, 'learning_rate': 0.003}",fresh-sweep-22
6,"{'test/f1-score': 0.9306930693069309, 'test/epoch_acc': 0.9222222222222224, 'test/epoch_loss': 0.26263883135527266, 'train/epoch_loss': 0.018423480946079804, 'epoch': 9, '_runtime': 358.66950702667236, '_timestamp': 1680691110.042932, 'test/precision': 0.9791666666666666, 'train/epoch_acc': 0.9975429975429976, 'train/batch_loss': 0.0031523401848971844, '_step': 2059, '_wandb': {'runtime': 355}, 'test/recall': 0.8867924528301887}","{'eps': 0.1, 'gamma': 0.1, 'epochs': 10, 'beta_one': 0.9, 'beta_two': 0.5, 'optimizer': 'adam', 'step_size': 5, 'batch_size': 4, 'learning_rate': 0.01}",pleasant-sweep-21
7,"{'epoch': 9, '_wandb': {'runtime': 329}, 'test/epoch_acc': 0.8777777777777778, 'test/precision': 0.86, 'train/epoch_acc': 1, 'train/batch_loss': 0.003317732596769929, '_step': 279, '_runtime': 332.6156196594238, '_timestamp': 1680690741.3215847, 'test/recall': 0.9148936170212766, 'test/f1-score': 0.8865979381443299, 'test/epoch_loss': 0.3669874522421095, 'train/epoch_loss': 0.0014873178028192654}","{'eps': 0.1, 'gamma': 0.5, 'epochs': 10, 'beta_one': 0.99, 'beta_two': 0.5, 'optimizer': 'sgd', 'step_size': 5, 'batch_size': 32, 'learning_rate': 0.01}",fragrant-sweep-20
8,"{'test/epoch_loss': 0.5786970999505785, 'train/epoch_acc': 0.8206388206388207, 'train/epoch_loss': 0.5623220165765842, '_wandb': {'runtime': 338}, 'test/recall': 0.82, 'test/precision': 0.7592592592592593, '_timestamp': 1680690397.165603, 'test/f1-score': 0.7884615384615384, 'test/epoch_acc': 0.7555555555555555, 'train/batch_loss': 0.58731609582901, '_step': 149, 'epoch': 9, '_runtime': 342.05230498313904}","{'eps': 1, 'gamma': 0.1, 'epochs': 10, 'beta_one': 0.9, 'beta_two': 0.99, 'optimizer': 'sgd', 'step_size': 2, 'batch_size': 64, 'learning_rate': 0.001}",treasured-sweep-19
9,"{'test/recall': 0.7291666666666666, 'test/f1-score': 0.7865168539325843, 'test/precision': 0.8536585365853658, 'test/epoch_loss': 0.6037532766660054, 'train/batch_loss': 0.5736206769943237, 'train/epoch_loss': 0.5984062318134074, '_step': 2059, 'epoch': 9, '_timestamp': 1680690042.488695, 'test/epoch_acc': 0.788888888888889, 'train/epoch_acc': 0.7788697788697788, '_wandb': {'runtime': 357}, '_runtime': 360.5366156101227}","{'eps': 1, 'gamma': 0.1, 'epochs': 10, 'beta_one': 0.99, 'beta_two': 0.999, 'optimizer': 'sgd', 'step_size': 2, 'batch_size': 4, 'learning_rate': 0.0001}",desert-sweep-18
